Algorithm,Length,Cost,Time,Dist_Type
Twice around the tree,16,98.50916551777435,0.0006365776062011719,Euclidean
Twice around the tree,16,108,0.0005843639373779297,Manhattan
Christofides,16,76.2093762072924,0.002650737762451172,Euclidean
Christofides,16,94,0.00458836555480957,Manhattan
Branch-and-Bound,16,73.23152925079285,2.038142204284668,Euclidean
Branch-and-Bound,16,92,5.501864671707153,Manhattan
Twice around the tree,16,79.90169097725543,0.0006232261657714844,Euclidean
Twice around the tree,16,104,0.0005812644958496094,Manhattan
Christofides,16,69.98443199846444,0.0035369396209716797,Euclidean
Christofides,16,82,0.006506443023681641,Manhattan
Branch-and-Bound,16,64.78131758000438,84.40462493896484,Euclidean
Branch-and-Bound,16,82,200.94965267181396,Manhattan
Twice around the tree,16,84.40641471409042,0.0007312297821044922,Euclidean
Twice around the tree,16,110,0.0006680488586425781,Manhattan
Christofides,16,81.8825513774784,0.0033063888549804688,Euclidean
Christofides,16,108,0.006541252136230469,Manhattan
Branch-and-Bound,16,74.98776992764992,207.18150401115417,Euclidean
Branch-and-Bound,16,92,108.87275385856628,Manhattan
Twice around the tree,16,83.01043794760209,0.0006546974182128906,Euclidean
Twice around the tree,16,108,0.0006468296051025391,Manhattan
Christofides,16,71.14657739935882,0.002924680709838867,Euclidean
Christofides,16,88,0.002145051956176758,Manhattan
Branch-and-Bound,16,68.97379385732086,415.6875436306,Euclidean
Branch-and-Bound,16,86,322.817067861557,Manhattan
Twice around the tree,16,76.1874983395557,0.001268148422241211,Euclidean
Twice around the tree,16,100,0.0010116100311279297,Manhattan
Christofides,16,70.12010926658652,0.004979133605957031,Euclidean
Christofides,16,86,0.004793643951416016,Manhattan
Branch-and-Bound,16,67.54303623729231,348.9703676700592,Euclidean
Branch-and-Bound,16,84,156.4468502998352,Manhattan
Twice around the tree,16,73.6995464630401,0.0006639957427978516,Euclidean
Twice around the tree,16,122,0.0006663799285888672,Manhattan
Christofides,16,75.23253607950359,0.006361246109008789,Euclidean
Christofides,16,102,0.003605365753173828,Manhattan
Branch-and-Bound,16,71.99376837925107,199.71586799621582,Euclidean
Branch-and-Bound,16,90,367.4794375896454,Manhattan
Twice around the tree,16,94.90653875866255,0.0006556510925292969,Euclidean
Twice around the tree,16,100,0.0006067752838134766,Manhattan
Christofides,16,82.47326149364814,0.009244680404663086,Euclidean
Christofides,16,102,0.004071712493896484,Manhattan
Branch-and-Bound,16,75.28163506423606,631.5294561386108,Euclidean
Branch-and-Bound,16,92,643.4978041648865,Manhattan
Twice around the tree,16,75.08669193717701,0.0007138252258300781,Euclidean
Twice around the tree,16,96,0.0005972385406494141,Manhattan
Christofides,16,72.10790946394728,0.003923892974853516,Euclidean
Christofides,16,84,0.003975629806518555,Manhattan
Branch-and-Bound,16,67.00638822743875,910.9377036094666,Euclidean
Branch-and-Bound,16,84,960.5820217132568,Manhattan
Twice around the tree,16,92.77853127515868,0.0006644725799560547,Euclidean
Twice around the tree,16,108,0.0005917549133300781,Manhattan
Christofides,16,74.0310739357914,0.0059359073638916016,Euclidean
Christofides,16,98,0.004556179046630859,Manhattan
Branch-and-Bound,16,70.39149375842884,516.9008543491364,Euclidean
Branch-and-Bound,16,88,909.3177497386932,Manhattan
Twice around the tree,16,86.8691939924405,0.0006616115570068359,Euclidean
Twice around the tree,16,104,0.0005958080291748047,Manhattan
Christofides,16,75.64664369337429,0.0043141841888427734,Euclidean
Christofides,16,100,0.0039441585540771484,Manhattan
Branch-and-Bound,16,69.11411223184206,250.22988629341125,Euclidean
Branch-and-Bound,16,88,156.9805281162262,Manhattan
Twice around the tree,16,75.74060888254272,0.0006906986236572266,Euclidean
Twice around the tree,16,108,0.0005881786346435547,Manhattan
Christofides,16,74.70261782933606,0.004291057586669922,Euclidean
Christofides,16,92,0.005040645599365234,Manhattan
Branch-and-Bound,16,69.00308670003538,246.6144392490387,Euclidean
Branch-and-Bound,16,88,549.384646654129,Manhattan
Twice around the tree,16,70.77212461945001,0.0007221698760986328,Euclidean
Twice around the tree,16,114,0.0005865097045898438,Manhattan
Christofides,16,66.40268780197084,0.001888275146484375,Euclidean
Christofides,16,94,0.002285480499267578,Manhattan
Branch-and-Bound,16,66.40268780197084,7.043980121612549,Euclidean
Branch-and-Bound,16,84,22.932960033416748,Manhattan
Twice around the tree,16,84.8942519203355,0.0006303787231445312,Euclidean
Twice around the tree,16,100,0.0005815029144287109,Manhattan
Christofides,16,70.28961205006145,0.006124258041381836,Euclidean
Christofides,16,88,0.0057375431060791016,Manhattan
Branch-and-Bound,16,70.26621406878176,474.5025758743286,Euclidean
Branch-and-Bound,16,88,1132.385261297226,Manhattan
Twice around the tree,16,83.47442406535002,0.0006642341613769531,Euclidean
Twice around the tree,16,96,0.0006101131439208984,Manhattan
Christofides,16,81.2439313525924,0.003147602081298828,Euclidean
Christofides,16,100,0.0025529861450195312,Manhattan
Branch-and-Bound,16,77.53633433372113,423.79019045829773,Euclidean
Branch-and-Bound,16,94,99.20878624916077,Manhattan
Twice around the tree,16,89.20074695440393,0.0006673336029052734,Euclidean
Twice around the tree,16,106,0.0006163120269775391,Manhattan
Christofides,16,78.9041757707472,0.0057947635650634766,Euclidean
Christofides,16,84,0.005197048187255859,Manhattan
Branch-and-Bound,16,68.32900755259193,282.18144941329956,Euclidean
Branch-and-Bound,16,80,65.6575071811676,Manhattan
